Index,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
1,PHQ,,,,,,
2,"Ranges, Commissionerate and Districts",,,,,,
2.1.,,Gurugram Commissionerate,,,,,
2.1.1.,,,Gurugram District,,,,
2.1.1.1.,,,,CP Office,,,
2.1.1.2.,,,,Joint CP Office,,,
2.1.1.3.,,,,Zones,,,
2.5.1.2.2.1.,,,,,,CITY BAHADURGARH,
2.5.1.2.2.2.,,,,,,LINE PAR BAHADURGARH,
2.5.1.2.2.3.,,,,,,SADAR BAHADURGARH,
2.5.1.2.2.4.,,,,,,TRAFFIC BAHADURGARH,
2.5.1.2.2.5.,,,,,,SECTOR-06 BAHADURGRH,
2.5.1.2.2.6.,,,,,,ASAUDA,
2.5.1.2.2.7.,,,,,,BADLI,
2.5.1.2.2.8.,,,,,,"WOMEN PS BAHADURGARH,JHAJJAR",
2.5.1.2.2.9.,,,,,,ABVT STAFF,
2.5.1.2.2.10.,,,,,,ADR Centre,
2.5.1.2.2.11.,,,,,,ANC,
2.5.1.2.2.12.,,,,,,Challaning Branch,
2.5.1.2.2.13.,,,,,,CIA,
2.5.1.2.2.14.,,,,,,Couple Protection Cell,
2.5.1.2.2.15.,,,,,,Court Security,
2.5.1.2.2.16.,,,,,,Deputation,
2.5.1.2.2.17.,,,,,,DPO,
2.5.1.2.2.18.,,,,,,EOW,
2.5.1.2.2.19.,,,,,,GO Staffs,
2.5.1.2.2.20.,,,,,,Gunmen,
2.5.1.2.2.21.,,,,,,Head Proficient,
2.5.1.2.2.22.,,,,,,Judicial Lockup,
2.5.1.2.2.23.,,,,,,Missing Person Cell,
2.5.1.2.2.24.,,,,,,Naib Court,
2.5.1.2.2.25.,,,,,,Naib Court (Civil),
2.5.1.2.2.26.,,,,,,Pairvi Cell,
2.5.1.2.2.27.,,,,,,PO STAFF,
2.5.1.2.2.28.,,,,,,Police Lines,
2.5.1.2.2.29.,,,,,,Prisoner Escort Guard,
2.5.1.2.2.30.,,,,,,PS TRAFFIC,
2.5.1.2.2.31.,,,,,,Standing Guard,
2.5.1.2.2.32.,,,,,,Summon Staff,
2.5.1.2.2.33.,,,,,,Temporary Posting (with order),
2.5.1.2.2.34.,,,,,,Temporary Posting (without order),
2.5.1.2.2.35.,,,,,,TRAFFIC,
2.5.1.2.2.36.,,,,,,Training Courses,
2.5.1.2.3.,,,,,HQ,,
2.5.1.2.4.,,,,,Crime,,
2.6.,,Ambala Range,,,,,
2.6.1.,,,Ambala Range Office,,,,
2.6.2.,,,Ambala District,,,,
2.6.2.1.,,,,,,AMBALA CANTT,
2.6.2.2.,,,,,,AMBALA CITY,
2.6.2.3.,,,,,,AMBALA SADAR,
2.6.2.4.,,,,,,BALDEV NAGAR,
2.6.2.5.,,,,,,BARARA,
2.6.2.6.,,,,,,MAHESH NAGAR,
2.6.2.7.,,,,,,MULLANA,
2.6.2.8.,,,,,,NAGGAL,
2.6.2.9.,,,,,,NARAINGARH,
2.6.2.10.,,,,,,PANJOKHRA,
2.6.2.11.,,,,,,PARAO AMBALA CANTT,
2.6.2.12.,,,,,,PS CYBER CRIME AMBALA,
2.6.2.13.,,,,,,SAHA,
2.6.2.14.,,,,,,"SECTOR-9, AMBALA CITY",
2.6.2.15.,,,,,,SHAHZADPUR,
2.6.2.16.,,,,,,"WOMEN POLICE STATION NARAINGARH, AMBALA",
2.6.2.17.,,,,,,"WOMEN POLICE STATION, AMBALA",
2.6.2.18.,,,,,,ABVT STAFF,
2.6.2.19.,,,,,,ADR Centre,
2.6.2.20.,,,,,,ANC,
2.6.2.21.,,,,,,Challaning Branch,
2.6.2.22.,,,,,,CIA,
2.6.2.23.,,,,,,Couple Protection Cell,
2.6.2.24.,,,,,,Court Security,
2.6.2.25.,,,,,,Deputation,
2.6.2.26.,,,,,,DPO,
2.6.2.27.,,,,,,EOW,
2.6.2.28.,,,,,,GO Staffs,
2.6.2.29.,,,,,,Gunmen,
2.6.2.30.,,,,,,Head Proficient,
2.6.2.31.,,,,,,Judicial Lockup,
2.6.2.32.,,,,,,Missing Person Cell,
2.6.2.33.,,,,,,Naib Court,
2.6.2.34.,,,,,,Naib Court (Civil),
2.6.2.35.,,,,,,Pairvi Cell,
2.6.2.36.,,,,,,PO STAFF,
2.6.2.37.,,,,,,Police Lines,
2.6.2.38.,,,,,,Prisoner Escort Guard,
2.6.2.39.,,,,,,PS TRAFFIC,
2.6.2.40.,,,,,,Standing Guard,
2.6.2.41.,,,,,,Summon Staff,
2.6.2.42.,,,,,,Temporary Posting (with order),
2.6.2.43.,,,,,,Temporary Posting (without order),
2.6.2.44.,,,,,,TRAFFIC,
2.6.2.45.,,,,,,Training Courses,
2.6.3.,,,Kurukshetra District,,,,
2.6.3.1.,,,,,,BABAIN,
2.6.3.2.,,,,,,"CITY PEHOWA, KURUKSHETRA",
2.6.3.3.,,,,,,"CYBER CRIME POLICE STATION, KURUKSHETRA",
2.6.3.4.,,,,,,ISMAILABAD,
2.6.3.5.,,,,,,JHANSA,
2.6.3.6.,,,,,,"KRISHANA GATE, THANASAR KURUKSHETRA",
2.6.3.7.,,,,,,KURUKSHETRA UNIVERSITY,
2.6.3.8.,,,,,,LADWA,
2.6.3.9.,,,,,,PEHOWA,
2.6.3.10.,,,,,,SHAHABAD,
2.6.3.11.,,,,,,THANESAR CITY,
2.6.3.12.,,,,,,THANESAR SADAR,
2.6.3.13.,,,,,,"WOMEN POLICE STATION, KURUKSHETRA",
2.6.3.14.,,,,,,ABVT STAFF,
2.6.3.15.,,,,,,ADR Centre,
2.6.3.16.,,,,,,ANC,
2.6.3.17.,,,,,,Challaning Branch,
2.6.3.18.,,,,,,CIA,
2.6.3.19.,,,,,,Couple Protection Cell,
2.6.3.20.,,,,,,Court Security,
2.6.3.21.,,,,,,Deputation,
2.6.3.22.,,,,,,DPO,
2.6.3.23.,,,,,,EOW,
2.6.3.24.,,,,,,GO Staffs,
2.6.3.25.,,,,,,Gunmen,
2.6.3.26.,,,,,,Head Proficient,
2.6.3.27.,,,,,,Judicial Lockup,
2.6.3.28.,,,,,,Missing Person Cell,
2.6.3.29.,,,,,,Naib Court,
2.6.3.30.,,,,,,Naib Court (Civil),
2.6.3.31.,,,,,,Pairvi Cell,
2.6.3.32.,,,,,,PO STAFF,
2.6.3.33.,,,,,,Police Lines,
2.6.3.34.,,,,,,Prisoner Escort Guard,
2.6.3.35.,,,,,,PS TRAFFIC,
2.6.3.36.,,,,,,Standing Guard,
2.6.3.37.,,,,,,Summon Staff,
2.6.3.38.,,,,,,Temporary Posting (with order),
2.6.3.39.,,,,,,Temporary Posting (without order),
2.6.3.40.,,,,,,TRAFFIC,
2.6.3.41.,,,,,,Training Courses,
2.6.4.,,,Yamunanagar District,,,,
2.6.4.1.,,,,,,BILASPUR,
2.6.4.2.,,,,,,BURIA,
2.6.4.3.,,,,,,CHHACHHRAULI,
2.6.4.4.,,,,,,CHHAPAR,
2.6.4.5.,,,,,,"Cyber Crime Police Station, Yamunanagar",
2.6.4.6.,,,,,,FARAKPUR,
2.6.4.7.,,,,,,"GANDHI NAGAR, YAMUNANAGAR",
2.6.4.8.,,,,,,JAGADDHRI SADAR,
2.6.4.9.,,,,,,JAGADHRI CITY,
2.6.4.10.,,,,,,JATHLANA,
2.6.4.11.,,,,,,PRATAP NAGAR,
2.6.4.12.,,,,,,RADAUR,
2.6.4.13.,,,,,,SADHAURA,
2.6.4.14.,,,,,,"SEC.17 HUDA, JAGADHRI YAMUNANAGAR",
2.6.4.15.,,,,,,"WOMEN POLICE STATION, YAMUNA NAGAR",
2.6.4.16.,,,,,,YAMUNA NAGAR CITY,
2.6.4.17.,,,,,,YAMUNA NAGAR SADAR,
2.6.4.18.,,,,,,ABVT STAFF,
2.6.4.19.,,,,,,ADR Centre,
2.6.4.20.,,,,,,ANC,
2.6.4.21.,,,,,,Challaning Branch,
2.6.4.22.,,,,,,CIA,
2.6.4.23.,,,,,,Couple Protection Cell,
2.6.4.24.,,,,,,Court Security,
2.6.4.25.,,,,,,Deputation,
2.6.4.26.,,,,,,DPO,
2.6.4.27.,,,,,,EOW,
2.6.4.28.,,,,,,GO Staffs,
2.6.4.29.,,,,,,Gunmen,
2.6.4.30.,,,,,,Head Proficient,
2.6.4.31.,,,,,,Judicial Lockup,
2.6.4.32.,,,,,,Missing Person Cell,
2.6.4.33.,,,,,,Naib Court,
2.6.4.34.,,,,,,Naib Court (Civil),
2.6.4.35.,,,,,,Pairvi Cell,
2.6.4.36.,,,,,,PO STAFF,
2.6.4.37.,,,,,,Police Lines,
2.6.4.38.,,,,,,Prisoner Escort Guard,
2.6.4.39.,,,,,,PS TRAFFIC,
2.6.4.40.,,,,,,Standing Guard,
2.6.4.41.,,,,,,Summon Staff,
2.6.4.42.,,,,,,Temporary Posting (with order),
2.6.4.43.,,,,,,Temporary Posting (without order),
2.6.4.44.,,,,,,TRAFFIC,
2.6.4.45.,,,,,,Training Courses,
2.7.,,Karnal Range Office,,,,,
2.7.1.,,,Karnal District,,,,
2.7.1.1.,,,,,,ASSANDH,
2.7.1.2.,,,,,,BUTANA,
2.7.1.3.,,,,,,Cyber Crime police station karnal,
2.7.1.4.,,,,,,GHARAUNDA,
2.7.1.5.,,,,,,INDRI,
2.7.1.6.,,,,,,KARNAL CITY,
2.7.1.7.,,,,,,KARNAL CIVIL LINES,
2.7.1.8.,,,,,,KARNAL SADAR,
2.7.1.9.,,,,,,KUNJPURA,
2.7.1.10.,,,,,,MADHUBAN,
2.7.1.11.,,,,,,"MUNAK, KARNAL",
2.7.1.12.,,,,,,NIGDHU KARNAL,
2.7.1.13.,,,,,,NISSING,
2.7.1.14.,,,,,,RAM NAGAR KARNAL,
2.7.1.15.,,,,,,SECTOR 32-33 KARNAL,
2.7.1.16.,,,,,,TARAORI,
2.7.1.17.,,,,,,"Women Police Station Assand,Karnal",
2.7.1.18.,,,,,,"WOMEN POLICE STATION, KARNAL",
2.7.1.19.,,,,,,ABVT STAFF,
2.7.1.20.,,,,,,ADR Centre,
2.7.1.21.,,,,,,ANC,
2.7.1.22.,,,,,,Challaning Branch,
2.7.1.23.,,,,,,CIA,
2.7.1.24.,,,,,,Couple Protection Cell,
2.7.1.25.,,,,,,Court Security,
2.7.1.26.,,,,,,Deputation,
2.7.1.27.,,,,,,DPO,
2.7.1.28.,,,,,,EOW,
2.7.1.29.,,,,,,GO Staffs,
2.7.1.30.,,,,,,Gunmen,
2.7.1.31.,,,,,,Head Proficient,
2.7.1.32.,,,,,,Judicial Lockup,
2.7.1.33.,,,,,,Missing Person Cell,
2.7.1.34.,,,,,,Naib Court,
2.7.1.35.,,,,,,Naib Court (Civil),
2.7.1.36.,,,,,,Pairvi Cell,
2.7.1.37.,,,,,,PO STAFF,
2.7.1.38.,,,,,,Police Lines,
2.7.1.39.,,,,,,Prisoner Escort Guard,
2.7.1.40.,,,,,,PS TRAFFIC,
2.7.1.41.,,,,,,Standing Guard,
2.7.1.42.,,,,,,Summon Staff,
2.7.1.43.,,,,,,Temporary Posting (with order),
2.7.1.44.,,,,,,Temporary Posting (without order),
2.7.1.45.,,,,,,TRAFFIC,
2.7.1.46.,,,,,,Training Courses,
2.7.2.,,,Kaithal District,,,,
2.7.2.1.,,,,,, Cyber Crime Police Station Kaithal,
2.7.2.2.,,,,,,CHEEKA,
2.7.2.3.,,,,,,CIVIL LINE KAITHAL,
2.7.2.4.,,,,,,Dhand,
2.7.2.5.,,,,,,GUHLA,
2.7.2.6.,,,,,,KAITHAL CITY,
2.7.2.7.,,,,,,KAITHAL SADAR,
2.7.2.8.,,,,,,KALAYAT,
2.7.2.9.,,,,,,PUNDRI,
2.7.2.10.,,,,,,RAJAUND,
2.7.2.11.,,,,,,SIWAN,
2.7.2.12.,,,,,,TITRAM,
2.7.2.13.,,,,,,"WOMEN POLICE STATION, KAITHAL",
2.7.2.14.,,,,,,ABVT STAFF,
2.7.2.15.,,,,,,ADR Centre,
2.7.2.16.,,,,,,ANC,
2.7.2.17.,,,,,,Challaning Branch,
2.7.2.18.,,,,,,CIA,
2.7.2.19.,,,,,,Couple Protection Cell,
2.7.2.20.,,,,,,Court Security,
2.7.2.21.,,,,,,Deputation,
2.7.2.22.,,,,,,DPO,
2.7.2.23.,,,,,,EOW,
2.7.2.24.,,,,,,GO Staffs,
2.7.2.25.,,,,,,Gunmen,
2.7.2.26.,,,,,,Head Proficient,
2.7.2.27.,,,,,,Judicial Lockup,
2.7.2.28.,,,,,,Missing Person Cell,
2.7.2.29.,,,,,,Naib Court,
2.7.2.30.,,,,,,Naib Court (Civil),
2.7.2.31.,,,,,,Pairvi Cell,
2.7.2.32.,,,,,,PO STAFF,
2.7.2.33.,,,,,,Police Lines,
2.7.2.34.,,,,,,Prisoner Escort Guard,
2.7.2.35.,,,,,,PS TRAFFIC,
2.7.2.36.,,,,,,Standing Guard,
2.7.2.37.,,,,,,Summon Staff,
2.7.2.38.,,,,,,Temporary Posting (with order),
2.7.2.39.,,,,,,Temporary Posting (without order),
2.7.2.40.,,,,,,TRAFFIC,
2.7.2.41.,,,,,,Training Courses,
2.7.3.,,,Panipat District,,,,
2.7.3.1.,,,,,,BAPOLI,
2.7.3.2.,,,,,,CHANDNIBAGH,
2.7.3.3.,,,,,,Cyber Crime Police Station Panipat,
2.7.3.4.,,,,,,Industrial Sector 29 Panipat,
2.7.3.5.,,,,,,ISRANA,
2.7.3.6.,,,,,,MATLAUDA,
2.7.3.7.,,,,,,Model Town Panipat,
2.7.3.8.,,,,,,Old Industrial Panipat,
2.7.3.9.,,,,,,PANIPAT CITY,
2.7.3.10.,,,,,,PANIPAT SADAR,
2.7.3.11.,,,,,,Quilla Panipat,
2.7.3.12.,,,,,,SAMALKHA,
2.7.3.13.,,,,,,SANOLI,
2.7.3.14.,,,,,,SECTOR 13/17 PANIPAT,
2.7.3.15.,,,,,,Tehsil Camp Panipat,
2.7.3.16.,,,,,,"WOMEN POLICE STATION, PANIPAT",
2.7.3.17.,,,,,,ABVT STAFF,
2.7.3.18.,,,,,,ADR Centre,
2.7.3.19.,,,,,,ANC,
2.7.3.20.,,,,,,Challaning Branch,
2.7.3.21.,,,,,,CIA,
2.7.3.22.,,,,,,Couple Protection Cell,
2.7.3.23.,,,,,,Court Security,
2.7.3.24.,,,,,,Deputation,
2.7.3.25.,,,,,,DPO,
2.7.3.26.,,,,,,EOW,
2.7.3.27.,,,,,,GO Staffs,
2.7.3.28.,,,,,,Gunmen,
2.7.3.29.,,,,,,Head Proficient,
2.7.3.30.,,,,,,Judicial Lockup,
2.7.3.31.,,,,,,Missing Person Cell,
2.7.3.32.,,,,,,Naib Court,
2.7.3.33.,,,,,,Naib Court (Civil),
2.7.3.34.,,,,,,Pairvi Cell,
2.7.3.35.,,,,,,PO STAFF,
2.7.3.36.,,,,,,Police Lines,
2.7.3.37.,,,,,,Prisoner Escort Guard,
2.7.3.38.,,,,,,PS TRAFFIC,
2.7.3.39.,,,,,,Standing Guard,
2.7.3.40.,,,,,,Summon Staff,
2.7.3.41.,,,,,,Temporary Posting (with order),
2.7.3.42.,,,,,,Temporary Posting (without order),
2.7.3.43.,,,,,,TRAFFIC,
2.7.3.44.,,,,,,Training Courses,
2.8.,,Hisar Range Office,,,,,
2.8.1.,,,Hisar District,,,,
2.8.1.1.,,,,,,ADAMPUR,
2.8.1.2.,,,,,,AGROHA,
2.8.1.3.,,,,,,AZAD NAGAR HISAR,
2.8.1.4.,,,,,,BARWALA,
2.8.1.5.,,,,,,"Cyber Crime, Police Station Hisar",
2.8.1.6.,,,,,,HISAR CITY,
2.8.1.7.,,,,,,HISAR CIVIL LINES,
2.8.1.8.,,,,,,HISAR SADAR,
2.8.1.9.,,,,,,HTM HISAR,
2.8.1.10.,,,,,,UKLANA,
2.8.1.11.,,,,,,URBAN ESTATE HISAR,
2.8.1.12.,,,,,,"WOMEN POLICE STATION, HISSAR",
2.8.1.13.,,,,,,ABVT STAFF,
2.8.1.14.,,,,,,ADR Centre,
2.8.1.15.,,,,,,ANC,
2.8.1.16.,,,,,,Challaning Branch,
2.8.1.17.,,,,,,CIA,
2.8.1.18.,,,,,,Couple Protection Cell,
2.8.1.19.,,,,,,Court Security,
2.8.1.20.,,,,,,Deputation,
2.8.1.21.,,,,,,DPO,
2.8.1.22.,,,,,,EOW,
2.8.1.23.,,,,,,GO Staffs,
2.8.1.24.,,,,,,Gunmen,
2.8.1.25.,,,,,,Head Proficient,
2.8.1.26.,,,,,,Judicial Lockup,
2.8.1.27.,,,,,,Missing Person Cell,
2.8.1.28.,,,,,,Naib Court,
2.8.1.29.,,,,,,Naib Court (Civil),
2.8.1.30.,,,,,,Pairvi Cell,
2.8.1.31.,,,,,,PO STAFF,
2.8.1.32.,,,,,,Police Lines,
2.8.1.33.,,,,,,Prisoner Escort Guard,
2.8.1.34.,,,,,,PS TRAFFIC,
2.8.1.35.,,,,,,Standing Guard,
2.8.1.36.,,,,,,Summon Staff,
2.8.1.37.,,,,,,Temporary Posting (with order),
2.8.1.38.,,,,,,Temporary Posting (without order),
2.8.1.39.,,,,,,TRAFFIC,
2.8.1.40.,,,,,,Training Courses,
2.8.2.,,,Hansi District,,,,
2.8.2.1.,,,,,,BASS,
2.8.2.2.,,,,,,HANSI CITY,
2.8.2.3.,,,,,,HANSI SADAR,
2.8.2.4.,,,,,,NARNAUND,
2.8.2.5.,,,,,,"PS CYBER CRIME, HANSI",
2.8.2.6.,,,,,,"Women Police Station, HANSI",
2.8.2.7.,,,,,,ABVT STAFF,
2.8.2.8.,,,,,,ADR Centre,
2.8.2.9.,,,,,,ANC,
2.8.2.10.,,,,,,Challaning Branch,
2.8.2.11.,,,,,,CIA,
2.8.2.12.,,,,,,Couple Protection Cell,
2.8.2.13.,,,,,,Court Security,
2.8.2.14.,,,,,,Deputation,
2.8.2.15.,,,,,,DPO,
2.8.2.16.,,,,,,EOW,
2.8.2.17.,,,,,,GO Staffs,
2.8.2.18.,,,,,,Gunmen,
2.8.2.19.,,,,,,Head Proficient,
2.8.2.20.,,,,,,Judicial Lockup,
2.8.2.21.,,,,,,Missing Person Cell,
2.8.2.22.,,,,,,Naib Court,
2.8.2.23.,,,,,,Naib Court (Civil),
2.8.2.24.,,,,,,Pairvi Cell,
2.8.2.25.,,,,,,PO STAFF,
2.8.2.26.,,,,,,Police Lines,
2.8.2.27.,,,,,,Prisoner Escort Guard,
2.8.2.28.,,,,,,PS TRAFFIC,
2.8.2.29.,,,,,,Standing Guard,
2.8.2.30.,,,,,,Summon Staff,
2.8.2.31.,,,,,,Temporary Posting (with order),
2.8.2.32.,,,,,,Temporary Posting (without order),
2.8.2.33.,,,,,,TRAFFIC,
2.8.2.34.,,,,,,Training Courses,
2.8.3.,,,Jind District,,,,
2.8.3.1.,,,,,,ALEWA,
2.8.3.2.,,,,,,CITY SAFIDON,
2.8.3.3.,,,,,,Civil line Jind,
2.8.3.4.,,,,,,GARHI,
2.8.3.5.,,,,,,JIND CITY,
2.8.3.6.,,,,,,JIND SADAR,
2.8.3.7.,,,,,,JULANA,
2.8.3.8.,,,,,,NARWANA CITY,
2.8.3.9.,,,,,,NARWANA SADAR,
2.8.3.10.,,,,,,PILLU KHERA,
2.8.3.11.,,,,,,"PS Cyber, District Jind",
2.8.3.12.,,,,,,SAFIDON,
2.8.3.13.,,,,,,UCHANA,
2.8.3.14.,,,,,,"WOMEN POLICE STATION, JIND",
2.8.3.15.,,,,,,ABVT STAFF,
2.8.3.16.,,,,,,ADR Centre,
2.8.3.17.,,,,,,ANC,
2.8.3.18.,,,,,,Challaning Branch,
2.8.3.19.,,,,,,CIA,
2.8.3.20.,,,,,,Couple Protection Cell,
2.8.3.21.,,,,,,Court Security,
2.8.3.22.,,,,,,Deputation,
2.8.3.23.,,,,,,DPO,
2.8.3.24.,,,,,,EOW,
2.8.3.25.,,,,,,GO Staffs,
2.8.3.26.,,,,,,Gunmen,
2.8.3.27.,,,,,,Head Proficient,
2.8.3.28.,,,,,,Judicial Lockup,
2.8.3.29.,,,,,,Missing Person Cell,
2.8.3.30.,,,,,,Naib Court,
2.8.3.31.,,,,,,Naib Court (Civil),
2.8.3.32.,,,,,,Pairvi Cell,
2.8.3.33.,,,,,,PO STAFF,
2.8.3.34.,,,,,,Police Lines,
2.8.3.35.,,,,,,Prisoner Escort Guard,
2.8.3.36.,,,,,,PS TRAFFIC,
2.8.3.37.,,,,,,Standing Guard,
2.8.3.38.,,,,,,Summon Staff,
2.8.3.39.,,,,,,Temporary Posting (with order),
2.8.3.40.,,,,,,Temporary Posting (without order),
2.8.3.41.,,,,,,TRAFFIC,
2.8.3.42.,,,,,,Training Courses,
2.8.4.,,,Sirsa District,,,,
2.8.4.1.,,,,,,BARAGUDHA(Sirsa),
2.8.4.2.,,,,,,CITY MANDI DABWALI(Sirsa),
2.8.4.3.,,,,,,Cyber Crime Police Station Sirsa,
2.8.4.4.,,,,,,DING,
2.8.4.5.,,,,,,ELLENABAD,
2.8.4.6.,,,,,,NATHU SARAI CHOPTA,
2.8.4.7.,,,,,,"Police Station,Civil Line Sirsa",
2.8.4.8.,,,,,,RANIA,
2.8.4.9.,,,,,,RORI(Sirsa),
2.8.4.10.,,,,,,SIRSA CITY,
2.8.4.11.,,,,,,SIRSA SADAR,
2.8.4.12.,,,,,,"WOMEN POLICE STATION, SIRSA",
2.8.4.13.,,,,,,ABVT STAFF,
2.8.4.14.,,,,,,ADR Centre,
2.8.4.15.,,,,,,ANC,
2.8.4.16.,,,,,,Challaning Branch,
2.8.4.17.,,,,,,CIA,
2.8.4.18.,,,,,,Couple Protection Cell,
2.8.4.19.,,,,,,Court Security,
2.8.4.20.,,,,,,Deputation,
2.8.4.21.,,,,,,DPO,
2.8.4.22.,,,,,,EOW,
2.8.4.23.,,,,,,GO Staffs,
2.8.4.24.,,,,,,Gunmen,
2.8.4.25.,,,,,,Head Proficient,
2.8.4.26.,,,,,,Judicial Lockup,
2.8.4.27.,,,,,,Missing Person Cell,
2.8.4.28.,,,,,,Naib Court,
2.8.4.29.,,,,,,Naib Court (Civil),
2.8.4.30.,,,,,,Pairvi Cell,
2.8.4.31.,,,,,,PO STAFF,
2.8.4.32.,,,,,,Police Lines,
2.8.4.33.,,,,,,Prisoner Escort Guard,
2.8.4.34.,,,,,,PS TRAFFIC,
2.8.4.35.,,,,,,Standing Guard,
2.8.4.36.,,,,,,Summon Staff,
2.8.4.37.,,,,,,Temporary Posting (with order),
2.8.4.38.,,,,,,Temporary Posting (without order),
2.8.4.39.,,,,,,TRAFFIC,
2.8.4.40.,,,,,,Training Courses,
2.8.5.,,,Dabwali District,,,,
2.8.5.1.,,,,,,CITY MANDI DABWALI,
2.8.5.2.,,,,,,DABWALI SADAR,
2.8.5.3.,,,,,,KALAN WALI,
2.8.5.4.,,,,,,ODHAN,
2.8.5.5.,,,,,,"Women Police Station Dabwali,Sirsa",
2.8.5.6.,,,,,,ABVT STAFF,
2.8.5.7.,,,,,,ADR Centre,
2.8.5.8.,,,,,,ANC,
2.8.5.9.,,,,,,Challaning Branch,
2.8.5.10.,,,,,,CIA,
2.8.5.11.,,,,,,Couple Protection Cell,
2.8.5.12.,,,,,,Court Security,
2.8.5.13.,,,,,,Deputation,
2.8.5.14.,,,,,,DPO,
2.8.5.15.,,,,,,EOW,
2.8.5.16.,,,,,,GO Staffs,
2.8.5.17.,,,,,,Gunmen,
2.8.5.18.,,,,,,Head Proficient,
2.8.5.19.,,,,,,Judicial Lockup,
2.8.5.20.,,,,,,Missing Person Cell,
2.8.5.21.,,,,,,Naib Court,
2.8.5.22.,,,,,,Naib Court (Civil),
2.8.5.23.,,,,,,Pairvi Cell,
2.8.5.24.,,,,,,PO STAFF,
2.8.5.25.,,,,,,Police Lines,
2.8.5.26.,,,,,,Prisoner Escort Guard,
2.8.5.27.,,,,,,PS TRAFFIC,
2.8.5.28.,,,,,,Standing Guard,
2.8.5.29.,,,,,,Summon Staff,
2.8.5.30.,,,,,,Temporary Posting (with order),
2.8.5.31.,,,,,,Temporary Posting (without order),
2.8.5.32.,,,,,,TRAFFIC,
2.8.5.33.,,,,,,Training Courses,
2.8.6.,,,Fatehabad District,,,,
2.8.6.1.,,,,,,BHATTU KALAN,
2.8.6.2.,,,,,,BHUNA,
2.8.6.3.,,,,,,CITY FATEHABAD,
2.8.6.4.,,,,,,CITY RATIA,
2.8.6.5.,,,,,,CITY TOHANA,
2.8.6.6.,,,,,,Cyber Crime Police Station Fatehabad,
2.8.6.7.,,,,,,JAKHAL,
2.8.6.8.,,,,,,SADAR FATEHABAD,
2.8.6.9.,,,,,,SADAR RATTIA,
2.8.6.10.,,,,,,SADAR TOHANA,
2.8.6.11.,,,,,,"WOMEN POLICE STATION, FATEHABAD",
2.8.6.12.,,,,,,ABVT STAFF,
2.8.6.13.,,,,,,ADR Centre,
2.8.6.14.,,,,,,ANC,
2.8.6.15.,,,,,,Challaning Branch,
2.8.6.16.,,,,,,CIA,
2.8.6.17.,,,,,,Couple Protection Cell,
2.8.6.18.,,,,,,Court Security,
2.8.6.19.,,,,,,Deputation,
2.8.6.20.,,,,,,DPO,
2.8.6.21.,,,,,,EOW,
2.8.6.22.,,,,,,GO Staffs,
2.8.6.23.,,,,,,Gunmen,
2.8.6.24.,,,,,,Head Proficient,
2.8.6.25.,,,,,,Judicial Lockup,
2.8.6.26.,,,,,,Missing Person Cell,
2.8.6.27.,,,,,,Naib Court,
2.8.6.28.,,,,,,Naib Court (Civil),
2.8.6.29.,,,,,,Pairvi Cell,
2.8.6.30.,,,,,,PO STAFF,
2.8.6.31.,,,,,,Police Lines,
2.8.6.32.,,,,,,Prisoner Escort Guard,
2.8.6.33.,,,,,,PS TRAFFIC,
2.8.6.34.,,,,,,Standing Guard,
2.8.6.35.,,,,,,Summon Staff,
2.8.6.36.,,,,,,Temporary Posting (with order),
2.8.6.37.,,,,,,Temporary Posting (without order),
2.8.6.38.,,,,,,TRAFFIC,
2.8.6.39.,,,,,,Training Courses,
2.9.,,Rohtak Range Office,,,,,
2.9.1.,,,Rohtak District,,,,
2.9.1.1.,,,,,,ARYA NAGAR ROHTAK,
2.9.1.2.,,,,,,BAHUAKBARPUR,
2.9.1.3.,,,,,,Cyber Police Station Rohtak,
2.9.1.4.,,,,,,I.M.T. ROHTAK,
2.9.1.5.,,,,,,KALANAUR,
2.9.1.6.,,,,,,LAKHAN MAJRA,
2.9.1.7.,,,,,,MEHAM,
2.9.1.8.,,,,,,P.G.I.M.S. ROHTAK,
2.9.1.9.,,,,,,PURANI SABZI MANDI ROHTAK,
2.9.1.10.,,,,,,ROHTAK CITY,
2.9.1.11.,,,,,,ROHTAK CIVIL LINES,
2.9.1.12.,,,,,,ROHTAK SADAR,
2.9.1.13.,,,,,,SAMPLA,
2.9.1.14.,,,,,,SHIVAJI COLONY,
2.9.1.15.,,,,,,URBAN ESTATE ROHTAK,
2.9.1.16.,,,,,,"WOMEN POLICE STATION, ROHTAK",
2.9.1.17.,,,,,,ABVT STAFF,
2.9.1.18.,,,,,,ADR Centre,
2.9.1.19.,,,,,,ANC,
2.9.1.20.,,,,,,Challaning Branch,
2.9.1.21.,,,,,,CIA,
2.9.1.22.,,,,,,Couple Protection Cell,
2.9.1.23.,,,,,,Court Security,
2.9.1.24.,,,,,,Deputation,
2.9.1.25.,,,,,,DPO,
2.9.1.26.,,,,,,EOW,
2.9.1.27.,,,,,,GO Staffs,
2.9.1.28.,,,,,,Gunmen,
2.9.1.29.,,,,,,Head Proficient,
2.9.1.30.,,,,,,Judicial Lockup,
2.9.1.31.,,,,,,Missing Person Cell,
2.9.1.32.,,,,,,Naib Court,
2.9.1.33.,,,,,,Naib Court (Civil),
2.9.1.34.,,,,,,Pairvi Cell,
