Index,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
1,PHQ,,,,,,
2,"Ranges, Commissionerate and Districts",,,,,,
2.1.,,Gurugram Commissionerate,,,,,
2.1.1.,,,Gurugram District,,,,
2.1.1.1.,,,,CP Office,,,
2.1.1.2.,,,,Joint CP Office,,,
2.1.1.3.,,,,Zones,,,
2.1.1.3.3.26.,,,,,,Prisoner Escort Guard,
2.1.1.3.3.27.,,,,,,PS TRAFFIC,
2.1.1.3.3.28.,,,,,,Standing Guard,
2.1.1.3.3.29.,,,,,,Summon Staff,
2.1.1.3.3.30.,,,,,,Temporary Posting (with order),
2.1.1.3.3.31.,,,,,,Temporary Posting (without order),
2.1.1.3.3.32.,,,,,,TRAFFIC,
2.1.1.3.3.33.,,,,,,Training Courses,
2.1.1.3.4.,,,,,Manesar Zone,,
2.1.1.3.4.1.,,,,,,BILASPUR GURUGRAM,
2.1.1.3.4.2.,,,,,,FURRUKH NAGAR,
2.1.1.3.4.3.,,,,,,KHEDKI DAULA,
2.1.1.3.4.4.,,,,,,MANESAR,
2.1.1.3.4.5.,,,,,,PATAUDI,
2.1.1.3.4.6.,,,,,,SECTOR - 37,
2.1.1.3.4.7.,,,,,,"INDUSTRIAL SECTOR - 7, MANESAR",
2.1.1.3.4.8.,,,,,,ABVT STAFF,
2.1.1.3.4.9.,,,,,,ADR Centre,
2.1.1.3.4.10.,,,,,,ANC,
2.1.1.3.4.11.,,,,,,Challaning Branch,
2.1.1.3.4.12.,,,,,,CIA,
2.1.1.3.4.13.,,,,,,Couple Protection Cell,
2.1.1.3.4.14.,,,,,,Court Security,
2.1.1.3.4.15.,,,,,,Deputation,
2.1.1.3.4.16.,,,,,,DPO,
2.1.1.3.4.17.,,,,,,EOW,
2.1.1.3.4.18.,,,,,,GO Staffs,
2.1.1.3.4.19.,,,,,,Gunmen,
2.1.1.3.4.20.,,,,,,Head Proficient,
2.1.1.3.4.21.,,,,,,Judicial Lockup,
2.1.1.3.4.22.,,,,,,Missing Person Cell,
2.1.1.3.4.23.,,,,,,Naib Court,
2.1.1.3.4.24.,,,,,,Naib Court (Civil),
2.1.1.3.4.25.,,,,,,Pairvi Cell,
2.1.1.3.4.26.,,,,,,PO STAFF,
2.1.1.3.4.27.,,,,,,Police Lines,
2.1.1.3.4.28.,,,,,,Prisoner Escort Guard,
2.1.1.3.4.29.,,,,,,PS TRAFFIC,
2.1.1.3.4.30.,,,,,,Standing Guard,
2.1.1.3.4.31.,,,,,,Summon Staff,
2.1.1.3.4.32.,,,,,,Temporary Posting (with order),
2.1.1.3.4.33.,,,,,,Temporary Posting (without order),
2.1.1.3.4.34.,,,,,,TRAFFIC,
2.1.1.3.4.35.,,,,,,Training Courses,
2.1.1.3.5.,,,,,HQ,,
2.1.1.3.6.,,,,,Crime,,
2.1.1.3.7.,,,,,Traffic,,
2.2.,,Faridabad Commissionerate,,,,,
2.2.1.,,,Faridabad District,,,,
2.2.1.1.,,,,CP Office,,,
2.2.1.2.,,,,Joint CP Office,,,
2.2.1.3.,,,,Zones,,,
2.2.1.3.1.,,,,,NIT Zone,,
2.2.1.3.1.1.,,,,,,FARIDABAD KOTWALI,
2.2.1.3.1.2.,,,,,,FARIDABAD N.I.T.,
2.2.1.3.1.3.,,,,,,MUJESAR,
2.2.1.3.1.4.,,,,,,S.G.M. NAGAR (SANJAY GANDHI MEMORIAL NAGAR),
2.2.1.3.1.5.,,,,,,SECTOR-58,
2.2.1.3.1.6.,,,,,,SARAN,
2.2.1.3.1.7.,,,,,,SURAJ KUND,
2.2.1.3.1.8.,,,,,,"Women Police Station NIT,Faridabad",
2.2.1.3.1.9.,,,,,,DABUA,
2.2.1.3.1.10.,,,,,,DHAUJ,
2.2.1.3.1.11.,,,,,,PS Cyber Crime NIT,
2.2.1.3.1.12.,,,,,,ABVT STAFF,
2.2.1.3.1.13.,,,,,,ADR Centre,
2.2.1.3.1.14.,,,,,,ANC,
2.2.1.3.1.15.,,,,,,Challaning Branch,
2.2.1.3.1.16.,,,,,,CIA,
2.2.1.3.1.17.,,,,,,Couple Protection Cell,
2.2.1.3.1.18.,,,,,,Court Security,
2.2.1.3.1.19.,,,,,,Deputation,
2.2.1.3.1.20.,,,,,,DPO,
2.2.1.3.1.21.,,,,,,EOW,
2.2.1.3.1.22.,,,,,,GO Staffs,
2.2.1.3.1.23.,,,,,,Gunmen,
2.2.1.3.1.24.,,,,,,Head Proficient,
2.2.1.3.1.25.,,,,,,Judicial Lockup,
2.2.1.3.1.26.,,,,,,Missing Person Cell,
2.2.1.3.1.27.,,,,,,Naib Court,
2.2.1.3.1.28.,,,,,,Naib Court (Civil),
2.2.1.3.1.29.,,,,,,Pairvi Cell,
2.2.1.3.1.30.,,,,,,PO STAFF,
2.2.1.3.1.31.,,,,,,Police Lines,
2.2.1.3.1.32.,,,,,,Prisoner Escort Guard,
2.2.1.3.1.33.,,,,,,PS TRAFFIC,
2.2.1.3.1.34.,,,,,,Standing Guard,
2.2.1.3.1.35.,,,,,,Summon Staff,
2.2.1.3.1.36.,,,,,,Temporary Posting (with order),
2.2.1.3.1.37.,,,,,,Temporary Posting (without order),
2.2.1.3.1.38.,,,,,,TRAFFIC,
2.2.1.3.1.39.,,,,,,Training Courses,
2.2.1.3.2.,,,,,Central Zone,,
2.2.1.3.2.1.,,,,,,"WOMEN POLICE STATION, FARIDABAD",
2.2.1.3.2.2.,,,,,,BHUPANI,
2.2.1.3.2.3.,,,,,,FARIDABAD CENTRAL,
2.2.1.3.2.4.,,,,,,FARIDABAD OLD,
2.2.1.3.2.5.,,,,,,SECTOR-31 FARIDABAD,
2.2.1.3.2.6.,,,,,,SARAI KHAWAJA,
2.2.1.3.2.7.,,,,,,KHERIPUL,
2.2.1.3.2.8.,,,,,,SECTOR-17,
2.2.1.3.2.9.,,,,,,PALLA,
2.2.1.3.2.10.,,,,,,Polilce Station B.P.T.P.,
2.2.1.3.2.11.,,,,,,Metro Police Station Faridabad,
2.2.1.3.2.12.,,,,,,PS Cyber Crime Central,
2.2.1.3.2.13.,,,,,,ABVT STAFF,
2.2.1.3.2.14.,,,,,,ADR Centre,
2.2.1.3.2.15.,,,,,,ANC,
2.2.1.3.2.16.,,,,,,Challaning Branch,
2.2.1.3.2.17.,,,,,,CIA,
2.2.1.3.2.18.,,,,,,Couple Protection Cell,
2.2.1.3.2.19.,,,,,,Court Security,
2.2.1.3.2.20.,,,,,,Deputation,
2.2.1.3.2.21.,,,,,,DPO,
2.2.1.3.2.22.,,,,,,EOW,
2.2.1.3.2.23.,,,,,,GO Staffs,
2.2.1.3.2.24.,,,,,,Gunmen,
2.2.1.3.2.25.,,,,,,Head Proficient,
2.2.1.3.2.26.,,,,,,Judicial Lockup,
2.2.1.3.2.27.,,,,,,Missing Person Cell,
2.2.1.3.2.28.,,,,,,Naib Court,
2.2.1.3.2.29.,,,,,,Naib Court (Civil),
2.2.1.3.2.30.,,,,,,Pairvi Cell,
2.2.1.3.2.31.,,,,,,PO STAFF,
2.2.1.3.2.32.,,,,,,Police Lines,
2.2.1.3.2.33.,,,,,,Prisoner Escort Guard,
2.2.1.3.2.34.,,,,,,PS TRAFFIC,
2.2.1.3.2.35.,,,,,,Standing Guard,
2.2.1.3.2.36.,,,,,,Summon Staff,
2.2.1.3.2.37.,,,,,,Temporary Posting (with order),
2.2.1.3.2.38.,,,,,,Temporary Posting (without order),
2.2.1.3.2.39.,,,,,,TRAFFIC,
2.2.1.3.2.40.,,,,,,Training Courses,
